attack,threshold_method,threshold,tpr,fpr,fnr,precision,f1,tn,fp,fn,tp,auc,eer
Video Injection,min,0.0026404077050289883,1.0,0.9999995680162702,0.0,0.04240051294779515,0.08135167322182357,1,2314901,0,102499,0.48408791515014754,0.5440425366946737
Video Injection,max,44038223.68310105,0.0,8.639674595296043e-07,1.0,0.0,0.0,2314900,2,102499,0,0.48408791515014754,0.5440425366946737
Video Injection,max+std,44167375.659720354,0.0,4.3198372976480215e-07,1.0,0.0,0.0,2314901,1,102499,0,0.48408791515014754,0.5440425366946737
Video Injection,mean+3sigma,388146.60740342765,0.0,5.3997966220600265e-05,1.0,0.0,0.0,2314777,125,102499,0,0.48408791515014754,0.5440425366946737
Video Injection,median+1.5MAD,0.587991001570617,0.0,0.000283813310455475,1.0,0.0,0.0,2314245,657,102499,0,0.48408791515014754,0.5440425366946737
Video Injection,p95,0.5739065769866862,0.0,0.04488051762018435,1.0,0.0,0.0,2211008,103894,102499,0,0.48408791515014754,0.5440425366946737
Video Injection,p99,0.5744954729651379,0.0,0.009007724733055654,1.0,0.0,0.0,2294050,20852,102499,0,0.48408791515014754,0.5440425366946737
ARP MitM,mean,0.8060331452619067,0.693031000495952,0.4802188658698845,0.306968999504048,0.5589846413017144,0.6188320214066515,677792,626203,351563,793709,0.8331438643165484,0.30771818547756175
ARP MitM,min,0.0023654424021863404,1.0,0.9999992331258939,0.0,0.4675980477416499,0.6372290402827846,1,1303994,0,1145272,0.8331438643165484,0.30771818547756175
ARP MitM,max,25.71690899406961,1.5716790421838655e-05,1.9171852652809252e-05,0.9999842832095781,0.4186046511627907,3.1432400693259056e-05,1303970,25,1145254,18,0.8331438643165484,0.30771818547756175
ARP MitM,max+std,26.036824035238762,1.3970480374967692e-05,1.6871230334472143e-05,0.999986029519625,0.42105263157894735,2.7940033702665648e-05,1303973,22,1145256,16,0.8331438643165484,0.30771818547756175
ARP MitM,mean+3sigma,1.7657782687693673,2.3575185632757982e-05,3.2208712456719543e-05,0.9999764248143672,0.391304347826087,4.714753073538797e-05,1303953,42,1145245,27,0.8331438643165484,0.30771818547756175
ARP MitM,median+1.5MAD,1.2279270804615088,2.4448340656193463e-05,3.297558656283191e-05,0.9999755516593438,0.39436619718309857,4.889365019911066e-05,1303952,43,1145244,28,0.8331438643165484,0.30771818547756175
ARP MitM,p95,1.1752276069517715,0.6723485774558359,0.04776321995099674,0.32765142254416413,0.9251680573828104,0.7787529891377175,1241712,62283,375250,770022,0.8331438643165484,0.30771818547756175
ARP MitM,p99,1.180351903166082,0.6591298835560461,0.009572889466600716,0.34087011644395393,0.9837326647258283,0.7893631727488422,1291512,12483,390389,754883,0.8331438643165484,0.30771818547756175
SSDP Flood,mean,0.5035201910923673,0.9997214511768514,0.6689899801057978,0.0002785488231485944,0.4544404792202535,0.6248463611415145,854887,1727775,401,1439203,0.9996721864854953,0.0008251722936682133
SSDP Flood,min,0.0034082867544709965,1.0,0.9999996128026044,0.0,0.35790879019656835,0.52714702604548,1,2582661,0,1439604,0.9996721864854953,0.0008251722936682133
SSDP Flood,max,1.3207218164698002,0.9992282599937204,0.0012278029413062956,0.0007717400062795532,0.9978004583592294,0.9985138487638082,2579491,3171,1111,1438493,0.9996721864854953,0.0008251722936682133
SSDP Flood,max+std,1.5093380301529054,0.99912475930881,0.0005970583839464862,0.000875240691190049,0.9989290818856493,0.9990269110154923,2581120,1542,1260,1438344,0.9996721864854953,0.0008251722936682133
SSDP Flood,mean+3sigma,1.069368832141683,0.9993657978166218,0.0021423631896082414,0.0006342021833781741,0.9961688768501286,0.9977647765400711,2577129,5533,913,1438691,0.9996721864854953,0.0008251722936682133
SSDP Flood,median+1.5MAD,0.6981734866872962,0.9995818294475425,0.08391651714393908,0.00041817055245751966,0.8691042621683487,0.9297878678036037,2365934,216728,602,1439002,0.9996721864854953,0.0008251722936682133
SSDP Flood,p95,0.7326635660446578,0.9995602957479973,0.053795657348890406,0.0004397042520026817,0.9119491833168875,0.9537469788842525,2443726,138936,633,1438971,0.9996721864854953,0.0008251722936682133
SSDP Flood,p99,0.7542478207774571,0.9995477923095518,0.014000670625889102,0.0004522076904481809,0.9754872850332721,0.9873709822843805,2546503,36159,651,1438953,0.9996721864854953,0.0008251722936682133
